DATAFLOW,LAST UPDATE,freq,currency,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Bulgaria,2025-S1,551,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Bulgaria,2025-S2,551,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Bulgaria,2026-S1,620,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2020-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2021-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2021-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2022-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2022-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2023-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2023-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2024-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2024-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2025-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2025-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Switzerland,2026-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2020-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2021-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2021-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2022-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2022-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2023-S1,940,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2023-S2,940,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2024-S1,1000,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2024-S2,1000,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2025-S1,1000,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2025-S2,1000,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Cyprus,2026-S1,1088,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2020-S2,546,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2021-S1,579,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2021-S2,596,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2022-S1,652,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2022-S2,655,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2023-S1,717,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2023-S2,729,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2024-S1,764,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2024-S2,755,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2025-S1,826,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2025-S2,841,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Czechia,2026-S1,924,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2020-S2,1544,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2021-S1,1585,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2021-S2,1602,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2022-S1,1634,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2022-S2,1739,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2023-S1,1997,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2023-S2,1997,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2024-S1,2054,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2024-S2,2054,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2025-S1,2161,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2025-S2,2161,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Germany,2026-S1,2343,,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2020-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2021-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2021-S2,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2022-S1,,m,
ESTAT:TPS00155(1.0),30/01/26 11:00:00,"Half-yearly, semesterly",Euro,Denmark,2022-S2,,m,
